codes,https://huggingface.co/datasets/cis-lmu/GlotCC-V1,comment (https://iso639-3.sil.org/code/prs)
tap-Latn,1/1,
taq-Latn,4/5,noise from programming langauge
taq-Tfng,,
tar-Latn,1/1,"a language in Parral, Mexico -- Tarahumara is a good fit."
tat-Cyrl,,
tat-Latn,,
tav-Latn,0/1,https://rhymebrain.com list case
taw-Latn,2/2,
tay-Latn,14/14,
tbg-Latn,9/9,
tbo-Latn,15/15,
tbw-Latn,1/1,
tby-Latn,3/3,
tbz-Latn,1/1,
tca-Latn,7/7,
tcs-Latn,2/2,
tcy-Knda,,
tcz-Latn,,
tdt-Latn,20/20,myabe the name should be tet? the difference between tdt and tet are close.
tdx-Latn,1/2,only keep the bible -- Ty ren repeated word
tel-Latn,,
tel-Telu,,
teo-Latn,,
tet-Latn,,
tfr-Latn,2/2,
tgk-Cyrl,20/20,
tgo-Latn,,
tgp-Latn,20/20,
tha-Thai,,
thl-Deva,,
tif-Latn,1/1,
tig-Ethi,,
tih-Latn,2/2,
tir-Ethi,,
tiv-Latn,2/4,just keep omniglot
tke-Latn,7/7,
tkl-Latn,,
tkr-Cyrl,,
tku-Latn,15/15,
tlb-Latn,2/2,
tlf-Latn,2/2,
tlh-Latn,,
tll-Latn,3/13,delete http://anagramy.net
tly-Latn,,
tmd-Latn,7/7,
tnc-Latn,1/1,
tnk-Latn,20/20,
tnn-Latn,,
tnp-Latn,26/26,
tnr-Latn,1/1,
tob-Latn,,
tod-Latn,,
tog-Latn,,
toi-Latn,,
toj-Latn,1/1,
tok-Latn,,
ton-Latn,,
too-Latn,2/2,
top-Latn,5/5,
tos-Latn,1/1,
tpi-Latn,20/20,
trc-Latn,1/1,
